date,mean_temp,precipitation,wspd,wdir,pressure,Roadside_Nitrogen_Dioxide (ug/m3),Roadside_Ozone (ug/m3),Roadside_PM10_Particulate (ug/m3),Roadside_PM2.5_Particulate (ug/m3),Roadside_Sulphur_Dioxide (ug/m3),Background_Nitrogen_Dioxide (ug/m3),Background_Ozone (ug/m3),Background_PM10_Particulate (ug/m3),Background_PM2.5_Particulate (ug/m3),Background_Sulphur_Dioxide (ug/m3)
2012-12,5.8,3.1,16.4,226.8,100823.9,64.0,24.2,23.1,13.9,4.1,42.8,30.0,16.3,11.4,4.7
2013-01,4.3,1.6,14.6,188.3,101362.6,67.6,19.9,30.1,20.4,4.4,45.9,24.8,22.3,17.5,4.6
2013-02,4.0,1.2,14.8,173.5,101795.0,63.6,27.4,31.7,21.3,3.8,40.0,31.4,23.5,17.8,4.5
2013-03,4.1,1.7,14.2,91.7,100882.9,65.6,35.0,36.2,25.0,3.5,40.9,41.2,28.2,21.8,4.8
2013-04,9.1,1.1,16.5,159.1,101513.0,56.1,45.9,29.3,17.2,2.3,30.6,54.9,21.8,14.6,2.9
2013-05,12.1,1.3,14.8,233.0,101228.4,57.1,41.6,24.3,14.4,3.8,29.3,50.9,17.7,12.2,3.3
2013-06,15.8,0.4,15.4,196.9,101861.0,49.3,32.1,23.7,13.4,2.0,24.0,42.7,17.5,10.8,3.0
2013-07,21.1,0.8,12.8,178.6,101989.4,54.8,34.8,28.0,15.8,2.8,28.1,48.2,21.3,13.2,3.0
2013-08,19.3,1.1,13.7,220.5,101762.6,52.3,28.4,25.2,13.4,2.4,27.2,39.7,18.9,12.3,1.8
2013-09,15.4,1.7,13.1,203.7,101578.0,59.1,16.3,29.7,17.1,2.8,35.5,22.8,21.6,14.5,2.8
2013-10,13.8,2.6,16.6,203.7,101116.1,52.6,21.3,25.5,12.6,3.1,32.3,29.0,18.1,10.6,3.7
2013-11,7.6,1.7,13.2,245.1,101756.3,62.3,14.2,27.1,14.7,4.2,42.8,20.9,18.9,12.6,5.1
2013-12,6.9,3.2,16.9,214.7,101503.9,57.9,25.2,26.2,14.5,3.1,41.7,30.8,18.9,12.8,4.8
2014-01,6.9,5.2,16.9,193.6,100161.6,56.3,26.2,22.3,11.6,1.8,38.4,34.6,16.5,10.6,4.2
2014-02,7.5,3.2,21.5,206.0,99848.2,48.5,34.2,19.7,8.5,2.8,29.5,45.8,14.6,7.9,3.3
2014-03,9.3,0.9,15.1,181.0,101592.3,66.2,23.6,35.7,23.8,3.3,43.5,34.5,27.3,22.5,4.4
2014-04,11.8,1.9,14.6,189.1,101465.0,59.3,29.4,31.0,20.0,2.3,35.2,41.8,24.4,18.5,4.4
2014-05,13.9,2.7,14.3,209.6,101501.9,56.9,35.5,23.3,13.6,1.4,31.7,49.3,16.9,12.0,2.9
2014-06,17.3,1.4,12.8,158.4,101907.3,54.6,31.7,21.9,11.6,3.0,28.9,44.4,16.4,10.5,2.4
2014-07,20.4,1.6,13.5,213.2,101536.8,49.9,30.5,22.8,13.0,3.4,27.5,45.6,17.7,12.0,3.7
2014-08,17.2,3.1,16.6,234.1,101150.6,45.5,29.5,18.5,9.7,3.0,26.1,40.3,14.1,9.3,4.2
2014-09,17.1,0.4,10.6,140.8,101961.7,63.0,21.1,35.5,25.2,5.5,40.1,31.1,29.1,24.7,3.1
2014-10,14.3,2.5,14.6,198.7,101246.1,55.5,20.3,22.5,12.8,3.5,34.0,29.1,16.9,11.8,3.0
2014-11,9.7,4.3,12.1,163.1,100681.7,64.7,12.8,29.4,20.3,3.6,43.4,15.8,22.3,18.1,4.4
2014-12,6.1,1.2,17.6,231.1,101924.8,59.7,22.7,22.4,13.2,3.2,37.9,29.1,14.9,12.1,4.0
2015-01,5.2,2.0,18.4,226.2,101432.6,62.7,23.8,24.3,13.5,4.3,38.6,33.7,15.8,12.6,3.6
2015-02,4.9,1.4,14.7,187.1,101679.6,64.7,22.1,28.2,15.8,6.0,40.5,30.9,18.0,14.4,5.9
2015-03,7.9,0.8,17.2,182.4,102090.0,55.8,29.0,31.2,19.6,2.8,35.1,43.4,23.0,18.3,5.9
2015-04,11.1,0.5,15.3,173.8,102172.7,56.2,33.4,25.5,16.1,1.2,33.9,46.8,19.1,14.1,4.4
2015-05,13.2,1.3,18.5,232.7,101486.5,48.6,41.6,20.1,10.5,3.0,24.6,54.1,14.4,8.7,2.8
2015-06,16.8,0.4,16.8,218.3,101988.3,50.5,37.3,22.6,12.8,5.3,26.1,50.3,17.1,10.8,4.0
2015-07,18.8,2.3,17.3,229.6,101437.7,49.5,34.4,20.0,11.2,6.0,23.9,46.2,15.2,9.5,3.5
2015-08,18.2,3.8,13.7,193.3,101436.1,49.0,29.0,20.5,12.2,0.5,26.3,40.4,15.8,9.3,4.0
2015-09,14.4,1.7,13.1,194.8,101731.0,57.0,21.2,20.4,12.6,1.0,32.6,31.4,15.0,8.1,3.6
2015-10,12.6,1.3,11.6,167.4,101801.0,58.5,18.3,26.0,18.6,0.0,35.6,24.5,20.1,12.8,3.7
2015-11,10.7,1.6,19.6,234.8,101565.0,53.9,24.9,21.8,12.7,3.0,29.5,34.3,16.2,9.1,3.5
2015-12,11.3,1.3,20.5,207.2,101836.1,47.2,32.6,24.1,11.9,1.6,24.2,44.1,19.1,8.2,3.6
2016-01,6.3,2.4,17.0,213.8,100838.1,60.0,23.8,23.2,13.6,3.9,38.2,32.7,16.5,9.1,4.7
2016-02,6.1,1.5,18.8,191.7,101026.6,58.7,27.4,23.1,13.0,4.0,36.5,38.1,16.8,9.8,3.9
2016-03,7.0,2.3,16.5,166.1,101449.0,57.6,30.2,26.1,18.0,3.5,34.3,41.2,18.8,15.6,2.3
2016-04,9.2,1.6,15.1,211.2,101263.0,58.8,33.9,21.1,12.5,5.9,30.3,46.5,14.5,8.7,3.4
2016-05,14.4,1.9,14.8,180.6,101458.4,50.9,39.7,22.4,13.8,4.0,26.1,53.2,17.0,10.7,3.3
2016-06,16.7,3.1,13.5,181.3,101437.3,48.7,31.5,21.3,12.6,6.1,24.9,43.9,16.1,9.7,4.4
2016-07,19.2,0.5,15.6,257.0,101709.0,45.4,24.2,17.0,10.9,2.5,21.3,36.6,13.0,6.8,2.5
2016-08,19.7,0.7,15.9,210.0,101833.5,47.6,27.2,20.7,12.7,2.0,23.6,39.7,16.8,8.6,3.1
2016-09,18.0,1.4,13.4,217.6,101712.7,54.7,21.6,21.5,12.9,2.5,28.2,30.0,16.8,8.7,3.8
2016-10,12.3,0.7,12.5,142.0,102166.5,58.3,15.3,24.3,16.8,5.0,33.7,20.0,19.9,12.0,3.2
2016-11,7.2,2.9,14.3,194.5,101457.3,66.1,15.4,24.6,14.5,6.1,41.4,20.9,19.1,11.6,4.9
2016-12,6.8,0.3,12.4,182.2,102761.3,69.7,11.1,33.2,23.9,5.8,49.6,14.0,27.1,20.3,2.6
2017-01,4.1,1.9,12.8,201.8,102335.5,71.7,12.8,31.3,23.8,8.5,50.7,16.1,24.7,21.3,3.3
2017-02,7.2,1.4,18.5,173.7,101388.2,54.7,25.5,25.6,18.4,5.1,33.9,32.8,21.2,16.2,4.2
2017-03,10.4,0.8,19.4,209.3,101489.0,52.9,33.7,23.1,13.5,2.4,31.9,43.9,17.8,12.0,3.6
2017-04,10.9,0.2,14.9,236.6,102254.3,51.2,38.3,22.4,12.8,3.4,28.7,51.2,17.5,11.3,2.9
2017-05,15.1,2.1,15.7,176.4,101668.4,47.4,34.3,22.3,12.8,2.1,26.8,48.3,18.0,11.4,3.4
2017-06,19.0,1.5,18.9,213.5,101332.3,45.6,34.3,21.1,11.4,1.9,22.7,50.6,16.4,9.5,2.9
2017-07,19.4,2.9,16.6,217.8,101396.8,42.0,27.5,17.2,9.4,0.8,21.2,42.4,13.0,7.5,3.1
2017-08,17.8,1.9,14.9,239.0,101630.0,44.2,23.6,17.8,10.2,0.6,24.4,36.8,13.8,8.7,1.4
2017-09,15.1,2.0,15.3,229.5,101347.0,47.8,20.2,19.2,12.1,1.8,27.7,31.2,14.1,10.4,1.3
2017-10,13.7,0.3,18.2,239.2,101838.1,47.4,22.8,20.0,10.8,1.6,28.5,32.0,15.6,9.3,3.3
2017-11,7.8,1.1,15.5,260.3,101645.0,57.0,17.1,22.8,13.4,4.5,38.6,23.8,17.5,11.8,2.9
2017-12,5.8,2.6,18.2,242.4,101372.6,52.8,21.8,17.5,9.9,5.6,36.1,28.8,13.0,9.4,1.9
2018-01,6.7,1.9,19.7,205.9,101105.8,47.3,26.4,19.3,10.3,3.0,32.1,35.8,15.0,10.8,2.0
2018-02,3.7,1.0,16.5,168.8,101726.4,51.5,26.1,23.5,11.9,3.1,35.2,36.4,16.9,12.5,1.5
2018-03,6.4,2.6,17.6,166.7,100195.2,51.1,29.8,26.3,15.0,4.0,34.4,42.4,20.2,13.6,1.8
2018-04,11.7,2.2,15.6,182.1,101047.0,46.8,35.5,25.7,16.8,1.3,28.7,50.6,20.8,14.6,1.1
2018-05,15.3,1.9,12.6,121.0,101793.2,49.3,40.9,29.3,18.9,1.4,28.3,59.8,24.0,16.1,3.8
2018-06,18.7,0.0,15.4,147.3,101953.3,39.4,36.5,21.3,10.4,2.7,20.0,55.5,16.6,8.7,2.0
2018-07,22.3,0.5,13.0,176.1,101652.3,45.5,38.1,22.9,11.8,-1.7,23.3,62.6,18.6,10.1,2.4
2018-08,19.5,1.6,11.3,243.7,101679.4,39.2,22.5,16.3,7.9,1.8,20.6,37.3,11.9,6.4,1.9
2018-09,15.9,1.0,12.2,203.4,102103.7,44.4,26.6,19.0,9.6,0.3,26.4,40.9,14.3,7.9,1.2
2018-10,12.5,2.0,11.7,212.2,101813.5,47.6,20.4,19.3,11.4,-0.8,30.7,29.7,15.0,9.0,2.7
2018-11,9.0,2.5,14.0,136.1,101206.3,48.1,17.6,23.6,15.2,5.9,34.3,24.0,19.7,13.5,2.1
2018-12,7.9,2.0,13.3,203.9,101692.6,48.4,22.2,19.7,11.4,2.5,33.1,30.8,15.5,9.4,1.6
2019-01,4.8,1.1,11.7,256.4,101839.4,54.5,18.9,22.7,13.9,2.7,39.5,29.9,18.2,13.2,2.8
2019-02,7.8,1.2,12.7,193.8,101999.3,57.0,21.7,28.7,18.5,1.1,39.5,32.7,23.4,17.1,2.5
2019-03,9.5,1.6,16.4,239.6,101650.6,42.6,34.9,20.9,11.3,4.9,25.7,52.7,16.6,10.9,2.3
2019-04,10.7,0.4,13.0,112.1,101407.7,46.2,38.1,32.3,22.8,12.4,31.4,54.7,29.2,23.1,2.8
2019-05,13.4,1.2,11.7,209.7,101714.8,39.7,35.7,19.5,10.6,11.5,22.4,53.7,15.3,10.9,1.5
2019-06,16.9,2.7,14.1,160.0,101446.3,34.9,31.4,18.0,9.2,4.5,19.4,51.8,14.1,9.5,1.8
2019-07,20.2,1.6,13.1,208.0,101598.4,36.2,28.2,18.5,9.1,5.7,18.4,50.7,13.9,8.9,2.6
